Kode,Tekst
DA184J,Lichen scrofulosorum
DA185,Tuberkulose i øje
DA186,Tuberkulose i øre
DA187,Tuberkulose i binyre
DA187A,Tuberkuløs Addisons sygdom
DA188,Tuberkulose i andet organ
DA19,Miliær tuberkulose
DA190,Akut miliær tuberkulose med enkelt specificeret lokalisation
DA191,Akut miliær tuberkulose med flere lokalisationer
DA192,Akut miliær tuberkulose UNS
DA198,Anden miliær tuberkulose
DA199,Miliær tuberkulose UNS
,Visse dyreoverførte bakterielle sygdomme [DA20-DA28]
DA20,Pest
DA200,Byldepest
DA201,Hudpest
DA202,Lungepest
DA203,Meningitis forårsaget af Yersenia pestis
DA207,Sepsisk pest
DA208,Anden form for pest
DA209,Pest UNS
DA21,Tularæmi
DA210,Ulceroglandulær tularæmi
DA211,Okuloglandulær tularæmi
DA212,Pulmonal tularæmi
DA213,Gastrointestinal tularæmi
DA217,Tyføs tularæmi
DA218,Anden form for tularæmi
DA219,Tularæmi UNS
DA22,Miltbrand
DA220,Kutan miltbrand
DA221,Pulmonal miltbrand
DA222,Gastrointestinal miltbrand
DA227,Miltbrandsepsis
DA228,Anden form for miltbrand
DA229,Miltbrand UNS
DA23,Svingefeber
DA230,Brucellose forårsaget af Brucella melitensis
DA231,Brucellose forårsaget af Brucella abortus
DA232,Brucellose forårsaget af Brucella suis
DA233,Brucellose forårsaget af Brucella canis
DA238,Anden brucellose
DA239,Brucellose UNS
DA24,Glanders og melioidosis
DA240,Glanders
DA241,Akut eller fulminant melioidose
DA242,Subakut eller kronisk melioidose
DA243,Anden form for melioidose
DA244,Melioidose UNS
DA25,Rottebidfeber sygdomme
DA250,Spirillose
DA250A,Sodoku
DA251,Streptobacillose
DA259,Rottebidfeber UNS
DA26,Svinerosen
DA260,Kutant erysipeloid
DA267,Sepsis forårsaget af Erysipelothrix rhusiopathiae
DA268,Anden form for erysipeloid
DA269,Erysipeloid UNS
DA27,Leptospirose
DA270,Weils sygdom
DA278,Anden leptospirose
DA279,Leptospirose UNS
DA28,Andre dyreoverførte bakterielle infektioner IKA
DA280,Pasteurellose
DA281,Kattekradsningsfeber
DA282,Yersinia infektion udenfor mave-tarm-kanalen
DA282B,Yersinia sepsis
DA288,Anden dyreoverført bakteriel infektion
DA289,Dyreoverført bakteriel infektion UNS
,Andre bakterielle sygdomme [DA30-DA49]
DA30,Spedalskhed
DA300,Tidlig spedalskhed
DA301,Tuberkuloid spedalskhed
DA302,Borderline tuberkuloid spedalskhed
DA303,Borderline spedalskhed
DA304,Borderline lepromatøs spedalskhed
DA305,Lepromatøs spedalskhed
DA308,Anden form for spedalskhed
DA309,Spedalskhed UNS
DA31,Sygdomme forårsaget af andre mykobakterier
DA310,Mykobakteriel lungeaffektion
DA310A,Lungeinfektion med Mycobacterium avium
DA310B,Lungeinfektion med Mycobacterium intracellularis
DA310C,Lungeinfektion med Mycobacterium kansasii
DA311,Mykobakteriel hudaffektion
DA311A,Hudinfektion med Mycobacterium marinum
DA311B,Hudinfektion med Mycobacterium ulcerans
DA318,Anden mykobakteriel infektion
DA319,Mykobakteriel infektion UNS
DA32,Listeriose
DA320,Listeriose i huden
DA321,Listeriose i centralnervesystemet
DA327,Listeriasepsis
DA328,Anden form for listeriose
DA328A,Okuloglandulær listeriosis
DA329,Listeriose UNS
DA33,Stivkrampe hos nyfødte
DA339,Stivkrampe hos nyfødt
DA34,Obstetrisk stivkrampe
DA349,Stivkrampe i barselsperioden
DA35,Anden form for stivkrampe
DA359,Stivkrampe IKA
DA36,Difteri
DA360,Svælgdifteri
DA360A,Tonsildifteri
DA361,Difteri i nasopharynx
DA362,Larynxdifteri
DA362A,Difterisk laryngotrakeitis
DA363,Difteri i huden
DA368,Anden form for difteri
DA369,Difteri UNS
DA37,Kighoste
DA370,Kighoste forårsaget af Bordetella pertussis
DA371,Kighoste forårsaget af Bordetella parapertussis
DA378,Kighoste forårsaget af anden Bordetella-type
DA379,Kighoste UNS
DA38,Skarlagensfeber
DA389,Skarlagensfeber UNS
DA39,Infektioner med meningokokker
DA390,Meningitis forårsaget af meningokokker
DA391,Waterhouse-Friderichsens syndrom
DA392,Akut meningokokbakteriæmi
DA392A,Meningokoksepsis
DA393,Kronisk meningokokbakteriæmi
DA394,Meningokokbakteriæmi UNS
DA395,Hjertesygdom forårsaget af meningokokker
DA398,Anden meningokokinfektion
DA399,Meningokokinfektion UNS
DA40,Sepsis forårsaget af streptokokker
DA400,Sepsis forårsaget af Streptococcus A
DA401,Sepsis forårsaget af Streptococcus B
DA402,Sepsis forårsaget af Streptococcus D og Enterococcus
DA403,Sepsis forårsaget af Streptococcus pneumoniae
DA408,Anden streptokoksepsis
DA409,Streptokoksepsis UNS
DA41,Anden sepsis
DA410,Sepsis forårsaget af Staphylococcus aureus
DA411,Sepsis forårsaget af anden stafylokok
DA411A,Sepsis forårsaget af koagulase-negative stafylokokker
DA412,Sepsis forårsaget af stafylokokker UNS
DA413,Sepsis forårsaget af Haemophilus influenzae
DA414,Sepsis forårsaget af anaerob bakterie
DA415,Sepsis forårsaget af anden gramnegativ organisme
DA415A,Sepsis forårsaget af Escherichia coli
DA418,Anden sepsis IKA
DA419,Sepsis UNS
DA419B,Urosepsis
DA419C,Svær sepsis
DA42,Aktinomykose
DA420,Pulmonal aktinomykose
DA421,Abdominal aktinomykose
DA422,Cervikofacial aktinomykose
DA427,Sepsis forårsaget af aktinomykose
DA428,Anden form for aktinomykose
DA429,Aktinomykose UNS
DA43,Nocardiose
DA430,Pulmonal nocardiose
DA431,Kutan nocardiose
DA438,Anden form for nocardiose
DA439,Nocardiose UNS
DA44,Bartonellose
DA440,Systemisk bartonellose
DA441,Kutan og mukokutan bartonellose
DA448,Anden form for bartonellose
DA449,Bartonellose UNS
DA46,Rosen
DA469,Rosen UNS
DA48,Andre bakterielle sygdomme IKA
DA480,Gasgangræn
DA481,Legionærsygdom
DA482,Pontiacfeber
DA483,Toksisk shock-syndrom
DA484,Brasiliansk purpurafeber
DA484A,Systemisk Haemophilus aegypticus-infektion
DA488,Anden bakteriel sygdom
DA488A,Trichomycosis axillaris
DA49,Bakteriel infektion uden angivelse af lokalisation
DA490,Stafylokokinfektion UNS
DA491,"Streptokok- og/eller enterokokinfektion, uspecificeret lokalisation"
DA492,Infektion med Haemophilus influenzae UNS
DA493,Mycoplasmainfektion UNS
DA498,Anden bakteriel infektion uden angivelse af lokalisation
DA499,Bakteriel infektion UNS
DA499A,Bakteriæmi UNS
,"Infektioner, som overvejende er seksuelt overført [DA50-DA64]"
DA50,Medfødt syfilis
DA500,Tidlig medfødt symptomgivende syfilis
DA501,Tidlig medfødt latent syfilis
DA502,Tidlig medfødt syfilis UNS
DA503,Sen medfødt syfilitisk øjenlidelse
DA504,Sen medfødt neurosyfilis
DA505,Anden sen medfødt symptomatisk syfilis
DA505A,Hutchinsons triade
DA505B,Hutchinsons tænder
DA505C,Syfilitisk saddelnæse
DA506,Sen medfødt seropositiv syfilis uden kliniske manifestationer
DA507,Sen medfødt syfilis UNS
DA509,Medfødt syfilis UNS
DA51,Frisk syfilis
DA510,Primær genital syfilis
DA511,Primær anal syfilis
DA512,Primær syfilis med anden lokalisation
DA513,Sekundær syfilis i hud eller slimhinder
DA513A,Condyloma syphiliticum
DA513F,Syfilitisk mukøst plaque
DA514,Anden sekundær syfilis
DA514A,Syfilitisk lymfeknudesvulst
DA515,Frisk latent syfilis
DA519,Frisk syfilis UNS
DA52,Syfilis i sent stadium
DA520,Kardiovaskulær syfilis
DA521,Sen symptomatisk neurosyfilis
DA521D,Tabes dorsalis
DA522,Asymptomatisk neurosyfilis
DA523,Neurosyfilis UNS
DA527,Anden form for sen symptomatisk syfilis
DA527A,Syfilitisk gumma
DA527C,Anden form for sen eller tertiær syfilis
DA528,Sen latent syfilis
DA529,Syfilis i sent stadium UNS
DA53,Anden syfilis og syfilis UNS
DA530,Latent syfilis uden specificering af stadie
DA539,Syfilis UNS
DA54,Gonoré
DA540,Gonokokinfektion i nedre urin- og kønsorganer uden absces i periuretrale eller accessoriske glandler
DA540A,Gonoroisk cervicitis UNS
DA540B,Gonoroisk cystitis UNS
DA540D,Gonoroisk uretritis UNS
DA540E,Gonoroisk vulvovaginitis UNS
DA540F,Gonoroisk balanopostitis
DA541,Gonokokinfektion i nedre urin- og kønsorganer med absces i periuretrale eller accessoriske glandler
DA541A,Urogenital gonoroisk absces
DA541B,Gonoroisk bartholinitis
DA542,Gonoroisk pelvioperitonitis eller anden gonoroisk urogenital infektion
DA543,Gonokokinfektion i øje
DA543A,Gonoroisk purulent konjunktivitis hos nyfødt
DA544,Gonokokinfektion i led og muskler
DA545,Gonokokinfektion i svælget
DA546,Gonokokinfektion i anus og rektum
DA548,Anden gonokokinfektion
DA548B,Gonoroisk dermatitis
DA548G,Gonoroisk sepsis
DA549,Gonokokinfektion UNS
DA55,Venerisk lymfogranulom forårsaget af klamydiainfektion
DA559,Lymfogranulom forårsaget af Chlamydia
DA56,Andre seksuelt overførte klamydiainfektioner
DA560,Klamydiainfektion i nedre urin- og kønsorganer
DA560A,Klamydiacervicitis
DA560C,Klamydiacystitis
DA560D,Klamydiauretritis
DA560E,Vulvovaginitis forårsaget af klamydia
DA561,Klamydiainfektion i nedre bækken eller andet urin- og kønsorgan
DA562,Klamydiainfektion i urin- og kønsorganer UNS
DA563,Klamydiainfektion i anus og rektum
DA564,Klamydiainfektion i svælget
DA568,Seksuelt overført klamydiainfektion med anden lokalisation
DA57,Blød chanker
DA579,Ulcus molle UNS
DA58,Granulom forårsaget af infektion med Calymmatobacterium granulomatis
DA589,Granuloma inguinale UNS
DA59,Infektioner med Trichomonas vaginalis
DA590,Trichomoniasis i urin- og kønsorganer
DA590A,Vaginalt udflåd forårsaget af trichomonasis
DA590C,Trichomonasvaginitis
DA598,Trichomoniasis med anden lokalisation
DA599,Trichomoniasis UNS
DA60,Herpes simplex-infektion i anogenitalregionen
DA600,Herpes simplex-infektion i urin- og kønsorganer
DA601,Herpes simplex-infektion i analregion og endetarm
DA601A,Herpes simplex-infektion i anus
DA601B,Herpes simplex-infektion i perianalregionen
DA601C,Herpes simplex-infektion i rektum
DA609,Herpes simplex-infektion i anogenitalregionen UNS
DA63,"Andre fortrinsvis seksuelt overførte sygdomme, som ikke er klassificeret andetsteds"
DA630,Condyloma acuminatum i anogenitalregionen
DA630B,Uretrale kondylomer
DA630C,Genitale kondylomer
DA630D,Anale kondylomer
DA630E,Ekstragenitale kondylomer
DA638,Anden fortrinsvis seksuelt overført sygdom IKA
DA638A,Gardnerella infektion
DA64,Seksuelt overført sygdom uden nærmere specificering
DA649,Seksuelt overført sygdom UNS
,Andre sygdomme forårsaget af spirokæter [DA65-DA69]
DA65,Ikke-venerisk syfilis
DA659,Ikke-venerisk syfilis UNS
DA66,Frambøsia
DA660,Tidlig frambøsia
DA661,Multiple frambøsia papillomer
DA662,Andet tidligt hudsymptom ved frambøsia
DA663,Hyperkeratose ved frambøsia
DA664,Gumma og sår ved frambøsia
DA665,Rhinopharyngitis mutilans ved frambøsia
DA666,Knogle- og ledforandringer ved frambøsia
DA667,Anden manifestation ved frambøsia
DA668,Latent frambøsia
DA669,Frambøsia UNS
DA67,Pinta
DA670,Primær manifestation ved pinta
DA671,Sekundær manifestation ved pinta
DA672,Sen manifestation ved pinta
DA673,Blandede manifestationer ved pinta
DA679,Pinta UNS
DA68,Tilbagefaldsfeber
DA680,Tilbagefaldsfeber overført af lus
DA681,Tilbagefaldsfeber overført af flåt
DA689,Tilbagefaldsfeber UNS
DA69,Andre infektioner forårsaget af spirokæter
DA690,Nekrotiserende ulcerøs mundbetændelse
DA690A,Cancrum oris
DA690B,Noma
DA690C,Stomatitis ulcerosa Vincent
DA691,Anden Vincent-infektion
DA691A,Angina ulcerosa Vincent
DA691B,Faryngitis forårsaget af spirokæteinfektion
DA691C,Vincents angina
DA691E,Akut nekrotiserende ulcerøs stomatitis
DA691F,Vincents gingivitis
DA691G,Faryngitis forårsaget af fusospirokæteinfektion
DA692,Lymes sygdom
DA692A,Kronisk atrofisk akrodermatit
DA692D,Borrelia polyradikulitis
DA692F,Erythema chronicum migrans
DA698,Anden spirokæteinfektion
DA699,Spirokæteinfektion UNS
,Andre sygdomme forårsaget af Klamydia-bakterier [DA70-DA74]
DA70,Infektioner forårsaget af Chlamydophila psittaci
DA709,Chlamydophila psittaci-infektion
DA71,Ægyptisk øjensygdom
DA710,Tidligt stadie af trakom
DA711,Aktivt stadie af trakom
DA719,Trakom UNS
DA74,Andre sygdomme forårsaget af klamydia-bakterier
DA740,Klamydiakonjunktivitis
DA748,Anden klamydia-infektion
DA749,Klamydia-infektion UNS
,Rickettsia-infektioner [DA75-DA79]
DA75,"Rickettsioser overført af lus, lopper og mider"
DA750,Plettyfus forårsaget af Rickettsia prowazekii
DA751,Brill-Zinssers sygdom
DA752,Plettyfus forårsaget af Rickettsia typhi
DA753,Plettyfus forårsaget af Rickettsia tsutsugamushi
DA759,Plettyfus UNS
DA77,Rickettsioser overført af flåt
DA770,Rickettsiose forårsaget af Rickettsia rickettsii
DA771,Rickettsiose forårsaget af Rickettsia conorii
DA772,Rickettsiose forårsaget af Rickettsia sibirica
DA773,Rickettsiose forårsaget af Rickettsia australis
DA778,Anden rickettsiose overført af flåt
DA779,Rickettsiose overført af flåt UNS
DA78,Q-feber
DA789,Q-feber UNS
DA79,Andre rickettsioser
DA790,Skyttegravsfeber
DA791,Rickettsiose forårsaget af Rickettsia akari
DA798,Anden rickettsiose
DA798A,Rickettsiose forårsaget af Neorickettsia sennetsu [Ehrlichia sennetsu]
DA798B,Rickettsiose forårsaget af Ehrlichia phagocytophila
DA799,Rickettsiose UNS
,Virale infektioner i centralnervesystemet [DA80-DA89]
DA80,Akut polio
DA800,Akut polio med lammelser forårsaget af vaccine
DA801,Akut polio med lammelser forårsaget af importeret vild virus
DA802,Akut polio med lammelser forårsaget af indenlandsk vild virus
DA803,Anden eller ikke specificeret akut polio med lammelser
DA804,Akut polio uden lammelser
DA809,Akut polio UNS
DA81,Atypiske virusinfektioner i centralnervesystemet
DA810,Creutzfeldt-Jakobs sygdom
DA811,Subakut skleroserende panencephalitis
DA812,Progressiv multifokal leukoencefalopati
DA818,Anden atypisk virusinfektion i centralnervesystemet
DA818A,Kuru
DA818B,Fatal familiær insomni
DA819,Atypisk virusinfektion i centralnervesystemet UNS
DA819A,Prionsygdom i centralnervesystemet UNS
DA82,Hundegalskab
DA820,Sylvatisk rabies (lyssavirus type 1)
DA821,Flagermusrabies (European Bat Lyssavirus - EBL)
DA829,Rabies UNS
DA83,Viral hjernebetændelse overført af myg
DA830,Japansk hjernebetændelse
DA831,Encephalomyelitis equina occidentalis
DA832,Encephalomyelitis equina orientalis
DA833,St Louis-encephalitis
DA834,Australsk encephalitis
DA835,Californisk encephalitis
DA836,Rocio virus-encephalitis
DA838,Anden viral hjernebetændelse overført af myg
DA839,Viral hjernebetændelse overført af myg UNS
DA84,Viral hjernebetændelse overført af flåt
DA840,Encephalitis viralis occidentalis
DA841,Centraleuropæisk viral encephalitis overført af flåt
DA848,Anden viral hjernebetændelse overført af flåt
DA849,Viral hjernebetændelse overført af flåt UNS
DA85,Viral hjernebetændelse IKA
DA850,Hjernebetændelse forårsaget af enterovirus
DA851,Hjernebetændelse forårsaget af adenovirus
DA852,Viral hjernebetændelse overført af leddyr UNS
DA858,Anden viral hjernebetændelse
DA858A,Encephalitis lethargica
DA86,Viral hjernebetændelse UNS
DA869,Viral encephalitis UNS
DA87,Viral hjernehindebetændelse IKA
DA870,Meningitis forårsaget af enterovirus
DA870A,Meningitis forårsaget af coxsackievirus
DA870B,Meningitis forårsaget af echovirus
DA871,Meningitis forårsaget af adenovirus
DA872,Lymfocytær koriomeningitis
DA872A,Lymfocytær meningoencephalitis
DA878,Anden viral hjernehindebetændelse
DA879,Viral hjernehindebetændelse UNS
DA88,Andre virale infektioner i centralnervesystemet IKA
DA880,Febris enteroviralis exanthematica
DA881,Vertigo epidemica
DA888,Anden viral infektion i centralnervesystemet IKA
DA89,Virale infektioner i centralnervesystemet UNS
DA899,Viral infektion i centralnervesystemet UNS
,Virale febersygdomme overført af leddyr og virale hæmoragiske febersygdomme [DA92-DA99]
DA92,Andre virale febersygdomme overført af myg
DA920,Chikungunya virussygdom
DA921,O'nyong-nyong-feber
DA922,Venezuelansk ekvin encephalitis
DA923,West Nile feber
DA924,Rift Valley-feber
DA925,Zika virussygdom
DA928,Anden viral febersygdom overført af myg
DA929,Viral febersygdom overført af myg UNS
DA93,Andre virale febersygdomme overført af leddyr IKA
DA930,Oropouche virussygdom
DA931,Sandfluefeber
DA932,Colorado flåtfeber
DA938,Anden viral febersygdom overført af leddyr
DA94,Viral febersygdom overført af leddyr UNS
DA949,Viral febersygdom overført af leddyr UNS
DA95,Gul feber
DA950,Sylvatisk gul feber
DA951,Urban gul feber
DA959,Gul feber UNS
DA96,Arenavirale febersygdomme med blødninger
DA960,Junin hæmoragisk feber
DA961,Machupo hæmoragisk feber
DA962,Lassafeber
DA968,Anden arenaviral febersygdom med blødninger
DA969,Arenaviral feber med blødninger UNS
DA97,Dengue
DA970,Dengue uden advarselstegn
DA971,Dengue med advarselstegn
DA972,Alvorlig Dengue
DA979,Dengue UNS
DA98,Andre virale febersygdomme med blødninger
DA980,Krim-Congo hæmoragisk feber
DA981,Omsk hæmoragisk feber
DA982,Kyasanurfeber
DA983,Marburgfeber
DA984,Ebolavirus-sygdom
DA985,Hæmoragisk feber med renalt syndrom
DA985A,Epidemisk hæmoragisk feber
DA985B,Hantavirus-sygdom
DA985C,Epidemisk nefropati
DA988,Anden viral febersygdom med blødninger
DA99,Virale febersygdomme med blødninger UNS
DA999,Viral febersygdom med blødninger UNS
,Virale infektioner karakteriseret ved hud- og slimhindeaffektioner [DB00-DB09]
DB00,Herpes simplex-infektion
DB000,Herpeseksem
DB001,Herpesudbrud med blærer
DB001A,Herpes facialis
DB001B,Herpes labialis
DB001C,Ekstern otitis forårsaget af Herpes simplex-virus
DB002,Gingivostomatitis eller faryngotonsillitis forårsaget af Herpes simplex-virus
DB002A,Gingivostomatitis forårsaget af Herpes simplex-virus
DB002B,Faryngotonsillitis forårsaget af Herpes simplex-virus
DB002C,Faryngitis forårsaget af Herpes simplex-virus
DB003,Meningitis forårsaget af Herpes simplex-virus
DB004,Encephalitis forårsaget af Herpes simplex-virus
DB004A,Meningoencephalitis forårsaget af Herpes simplex-virus
DB005,Herpes simplex-infektion i øje
DB007,Herpes generalisata
DB008,Anden form for Herpes simplex-virus infektion
DB009,Infektion med Herpes simplex-virus UNS
DB01,Skoldkopper
DB010,Meningitis forårsaget af Varicella zoster
DB011,Encephalitis forårsaget af Varicella zoster
DB011A,Encephalomyelitis forårsaget af Varicella zoster
DB012,Pneumoni forårsaget af Varicella zoster
DB018,Skoldkopper med anden komplikation
DB019,Skoldkopper UNS
DB02,Zoster
DB020,Herpes zoster-encephalitis
DB020A,Herpes zoster-meningoencephalitis
DB021,Herpes zoster-meningitis
DB022,Herpes zoster med anden komplikation i nervesystemet
DB023,Herpes zoster i øje
DB027,Dissemineret herpes zoster
DB028,Herpes zoster-infektion med anden komplikation
DB029,Herpes zoster-infektion uden komplikation
DB03,Kopper
DB039,Kopper UNS
DB04,Abekopper (monkeypox)
DB049,Abekopper (monkeypox) UNS
DB05,Mæslinger
DB050,Mæslinger kompliceret med encephalitis
DB051,Mæslinger kompliceret med meningitis
DB052,Mæslinger kompliceret med pneumoni
DB053,Mæslinger kompliceret med mellemørebetændelse
DB054,Mæslinger med tarmkomplikation
DB058,Mæslinger med anden komplikation
DB059,Mæslinger uden komplikationer
DB06,Røde hunde
DB060,Røde hunde med neurologisk komplikation
DB068,Røde hunde med anden komplikation
DB069,Røde hunde uden komplikationer
DB07,Virale vorter
DB079,Verrucae virales UNS
DB079A,Verruca plana juvenilis
DB079C,Verruca plantaris
DB079D,Epidermodysplasia verruciformis
DB08,Andre virussygdomme karakteriseret ved hud- og slimhindeaffektioner IKA
DB080,Anden poxvirusinfektion
DB080A,Milkers nodule
DB080B,Orf
DB081,Molluscum contagiosum
DB082,Tredagesfeber
DB083,Lussingesyge
DB084,"Hånd-, fod- og mundsygdom"
DB085,Herpangina
DB088,Anden virussygdom med hud- og slimhindeaffektion
DB088A,Mund- og klovsyge
DB088B,Pharyngitis enteroviralis lymphonodularis
DB09,Virussygdomme uden nærmere specificering karakteriseret ved hud- og slimhindeaffektioner
DB099,Virusinfektion karakteriseret ved hud- og slimhindeaffektion UNS
DB099A,Viralt eksantem UNS
,Viral leverbetændelse [DB15-DB19]
DB15,Akut hepatitis A
DB150,Hepatitis A med leverkoma
DB159,Hepatitis A uden leverkoma
DB159A,Hepatitis A UNS
DB16,Akut hepatitis B
DB160,Akut hepatitis B med coinfektion med Delta agens med leverkoma
DB161,Akut hepatitis B med coinfektion med Delta agens uden leverkoma
DB162,Akut hepatitis B uden coinfektion med Delta agens med leverkoma
DB169,Akut hepatitis B uden coinfektion med Delta agens og uden leverkoma
DB169A,Hepatitis B UNS
DB17,Anden akut viral leverbetændelse
DB170,Akut Delta-superinfektion i kronisk hepatitis B
DB171,Akut hepatitis C
