Kode,Tekst
MA03AB10,hexocyclium
MA03AB11,poldin
MA03AB12,mepenzolat
MA03AB13,bevonium
MA03AB14,pipenzolat
MA03AB15,diphemanil
MA03AB16,(2-benzhydryloxyethyl)diethylmethylammoniumiodid
MA03AB17,tiemoniumiodid
MA03AB18,prifiniumbromid
MA03AB19,timepidiumbromid
MA03AB21,fenpiverin
MA03AB53,"oxyphenon, kombinationspræparater"
MA03AC,"synt. antispasmodica, amider med tertiære aminer"
MA03AC02,dimethylaminopropionylphenothiazin
MA03AC04,nicofetamid
MA03AC05,tiropramid
MA03AD,papaverin og derivater
MA03AD01,papaverin
MA03AD02,drotaverin
MA03AD30,moxaverin
MA03AE,serotoninreceptor antagonister
MA03AE01,alosetron
MA03AE03,cilansetron
MA03AX,andre midler mod funktionelle gastrointestinale forstyrrelser
MA03AX01,fenpipran
MA03AX02,diisopromin
MA03AX03,chlorbenzoxamin
MA03AX04,pinaverin
MA03AX05,fenoverin
MA03AX06,idanpramin
MA03AX07,proxazol
MA03AX08,alverin
MA03AX09,trepibuton
MA03AX10,isomethepten
MA03AX11,caroverin
MA03AX12,phloroglucinol
MA03AX13,silikoner
MA03AX14,valethamat
MA03AX15,pebermynteolie
MA03AX30,trimethyldiphenylpropylamin
MA03AX58,"alverin, kombinationer"
MA03B,"belladonna og derivater, usammensatte præparater"
MA03BA,"belladonna-alkaloider, tertiære aminer"
MA03BA01,atropin
MA03BA03,hyoscyamin
MA03BA04,"belladonna, totalalkaloider"
MA03BB,belladonna-alkal.semisynt.kvartern. ammoniumforb.
MA03BB01,butylscopolamin
MA03BB02,methylatropin
MA03BB03,methylscopolamin
MA03BB04,fentonium
MA03BB05,cimetropiumbromid
MA03BB06,homatropinmethylbromid
MA03C,antispasmodica i kombination med psycholeptica
MA03CA,synt. anticholinergica i komb. m. psycholeptica
MA03CA01,isopropamid og psycholeptica
MA03CA02,clidin og psycholeptica
MA03CA03,oxyphencyclimin og psycholeptica
MA03CA04,otiloniumbromid og psycholeptica
MA03CA05,glycopyrron og psycholeptica
MA03CA06,bevonium og psycholeptica
MA03CA07,ambuton og psycholeptica
MA03CA08,diphemanil og psycholeptica
MA03CA09,pipenzolat og psycholeptica
MA03CA30,emepron og psycholeptica
MA03CA34,propanthelin og psycholeptica
MA03CB,belladonna og derivater i komb. med psycholeptica
MA03CB01,methylscopolamin og psycholeptica
MA03CB02,"belladonna, totalalkaloider og psycholeptica"
MA03CB03,atropin og psycholeptica
MA03CB04,homatropinmethylbromid og psycholeptica
MA03CB31,hyoscyamin og psycholeptica
MA03CC,andre antispasmodica i komb. med psycholeptica
MA03D,antispasmodica i kombination med analgetica
MA03DA,synt. anticholinergica i komb. med analgetica
MA03DA01,tropenzilon og analgetica
MA03DA02,pitofenon og analgetica
MA03DA03,bevonium og analgetica
MA03DA04,ciclonium og analgetica
MA03DA05,camylofin og analgetica
MA03DA06,trospium og analgetica
MA03DA07,tiemoniumiodid og analgetica
MA03DB,belladonna og derivater i komb. med analgetica
MA03DB04,butylscopolamin og analgetica
MA03DC,andre antispasmodica i komb. med analgetica
MA03E,antispasm. og antichol. i komb. med andre stoffer
MA03EA,"antispasmodica, psycholeptica, analgetica i komb."
MA03ED,antispasmodica i kombination med andre stoffer
MA03F,propulsives
MA03FA,propulsives
MA03FA01,metoclopramid
MA03FA02,cisaprid
MA03FA03,domperidon
MA03FA04,bromoprid
MA03FA05,alizaprid
MA03FA06,cleboprid
MA03FA07,itoprid
MA03FA08,cinitaprid
MA03FA09,mosaprid
MA03FA10,acotiamid
MA04,antiemetica og midler mod kvalme
MA04A,antiemetica og midler mod kvalme
MA04AA,serotonin (5HT3) antagonister
MA04AA01,ondansetron
MA04AA02,granisetron
MA04AA03,tropisetron
MA04AA04,dolasetron
MA04AA05,palonosetron
MA04AA55,"palonosetron, kombinationer"
MA04AD,andre antiemetica
MA04AD01,scopolamin
MA04AD02,ceriumoxalat
MA04AD04,chlorbutanol
MA04AD05,metopimazin
MA04AD10,dronabinol
MA04AD11,nabilon
MA04AD12,aprepitant
MA04AD13,casopitant
MA04AD14,rolapitant
MA04AD51,"scopolamin, kombinationspræparater"
MA04AD54,"chlorbutanol, kombinationspræparater"
MA05,galde- og leverterapi
MA05A,galdeterapi
MA05AA,galdesyrer og derivater
MA05AA01,chenodeoxycholsyre
MA05AA02,ursodeoxycholsyre
MA05AA03,cholinsyre
MA05AA04,obeticholsyre
MA05AB,galdevejspræparater
MA05AB01,nicotinylmethylamid
MA05AX,andre galdepræparater
MA05AX01,piprozolin
MA05AX02,hymecromon
MA05AX03,cyclobutyrol
MA05AX04,maralixibatchlorid
MA05AX05,odevixibat
MA05B,lever og lipotropica
MA05BA,leverterapi
MA05BA01,argininglutamat
MA05BA03,silymarin
MA05BA04,citiolon
MA05BA05,epomediol
MA05BA06,ornithinoxoglurat
MA05BA07,tidiacicarginin
MA05BA08,glycyrrhizinsyre
MA05BA09,metadoxin
MA05BA10,phospholipider
MA05C,galde-præparater og lipotropica i kombination
MA06,midler mod obstipatio
MA06A,midler mod obstipatio
MA06AA,blødgørende midler
MA06AA01,paraffinolie
MA06AA02,natriumdocusat
MA06AA51,"paraffinolie, kombinationspræparater"
MA06AB,kontaktlaksantia
MA06AB01,oxyphenisatin
MA06AB02,bisacodyl
MA06AB03,dantron
MA06AB04,phenolphthalein
MA06AB05,ricinusolie
MA06AB06,sennes-glycosider
MA06AB07,cascara sagrada
MA06AB08,natriumpicosulfat
MA06AB09,bisoxatin
MA06AB20,kontaktlaksantia i kombination
MA06AB30,kontaktlaksantia i komb. m. belladonna-alkaloider
MA06AB52,"bisacodyl, komb."
MA06AB53,"dantron, kombinationspræparater"
MA06AB56,"sennes-glycosider, kombinationspræparater"
MA06AB57,"cascara sagrada, kombinationspræparater"
MA06AB58,"natriumpicosulfat, kombinationspræparater"
MA06AC,volumendannende laksantia
MA06AC01,ispaghula (loppefrø)
MA06AC02,ethulose
MA06AC03,sterculia
MA06AC05,hørfrø
MA06AC06,methylcellulose
MA06AC07,triticum (hvedefibre)
MA06AC08,polycarbophilcalcium
MA06AC51,"ispaghula, kombinationspræparater"
MA06AC53,"sterculia, kombinationspræparater"
MA06AC55,"hørfrø, kombinationspræparater"
MA06AD,osmotisk virkende laksantia
MA06AD01,magnesiumcarbonat
MA06AD02,magnesiumoxid
MA06AD03,magnesiumperoxid
MA06AD04,magnesiumsulfat
MA06AD10,mineralsalte i kombination
MA06AD11,lactulose
MA06AD12,lactitol
MA06AD13,natriumsulfat
MA06AD14,pentaerithrityltetranitrat
MA06AD15,macrogol
MA06AD16,mannitol
MA06AD17,natriumphosphat
MA06AD18,sorbitol
MA06AD19,magnesiumcitrat
MA06AD21,natriumtartrat
MA06AD61,"lactulose, kombinationspræparater"
MA06AD65,"macrogol, kombinationer"
MA06AG,klystermidler
MA06AG01,natriumphosphat
MA06AG02,bisacodyl
MA06AG03,"dantron, incl. kombinationspræparater"
MA06AG04,glycerol
MA06AG06,olie
MA06AG07,sorbitol
MA06AG10,"natriumdocusat, incl. kombinationspræparater"
MA06AG11,"natriumlaurilsulfoacetat, inkl. kombinationspræparater"
MA06AG20,kombinationspræparater
MA06AH,perifere opioidreceptor antagonister
MA06AH01,methylnaltrexonbromid
MA06AH02,alvimopan
MA06AH03,naloxegol
MA06AH04,naloxon
MA06AH05,naldemedin
MA06AX,andre midler mod obstipatio
MA06AX01,glycerol
MA06AX02,carbondioxid-dannende præparater
MA06AX03,lubiproston
MA06AX04,linaclotid
MA06AX05,prucaloprid
MA06AX06,tegaserod
MA06AX07,plecanatid
MA06AX08,tenapanor
MA06AX09,elobixibat
MA07,midler mod diarré og tarminflammation/-infektion
MA07A,intestinale antiinfectiva
MA07AA,antibiotica
MA07AA01,neomycin
MA07AA02,nystatin
MA07AA03,natamycin
MA07AA04,streptomycin
MA07AA05,polymyxin B
MA07AA06,paromomycin
MA07AA07,amphotericin
MA07AA08,kanamycin
MA07AA09,vancomycin
MA07AA10,colistin
MA07AA11,rifaximin
MA07AA12,fidaxomicin
MA07AA13,rifamycin
MA07AA51,"neomycin, kombinationer"
MA07AA54,"streptomycin, kombinationer"
MA07AB,sulfonamider
MA07AB02,phthalylsulfathiazol
MA07AB03,sulfaguanidin
MA07AB04,succinylsulfathiazol
MA07AC,imidazol-derivater
MA07AC01,miconazol
MA07AX,andre intestinale antiinfectiva
MA07AX01,broxyquinolin
MA07AX02,acetarsol
MA07AX03,nifuroxazid
MA07AX04,nifurzid
MA07B,intestinale adsorptionsmidler
MA07BA,kul-præparater
MA07BA01,aktivt kul
MA07BA51,"aktivt kul, komb."
MA07BB,bismuth-præparater
MA07BC,andre intestinale adsorptionsmidler
MA07BC01,pectin
MA07BC02,kaolin
MA07BC03,crospovidone
MA07BC04,attapulgit
MA07BC05,diosmectit
MA07BC30,kombinationer
MA07BC54,"attapulgit, kombinationer"
MA07C,elektrolytter med kulhydrater
MA07CA,orale rehydreringssalt-formuleringer
MA07D,antipropulsiva
MA07DA,antipropulsiva
MA07DA01,diphenoxylat
MA07DA02,opium
MA07DA03,loperamid
MA07DA04,difenoxin
MA07DA05,loperamidoxid
MA07DA06,eluxadolin
MA07DA52,"morphin, kombinationer"
MA07DA53,"loperamid, kombinationer"
MA07E,intestinale antiinflammatorica
MA07EA,corticosteroider med lokal virkning
MA07EA01,prednisolon
MA07EA02,hydrocortison
MA07EA03,prednison
MA07EA04,betamethason
MA07EA05,tixocortol
MA07EA06,budesonid
MA07EA07,beclometason
MA07EB,"antiallergica, excl. corticosteroider"
MA07EB01,cromoglicinsyre
MA07EC,aminosalicylsyre og analoger
MA07EC01,sulfasalazin
MA07EC02,mesalazin
MA07EC03,olsalazin
MA07EC04,balsalazid
MA07F,mikroorganismer med virkning mod diarré
MA07FA,mikroorganismer med virkning mod diarré
MA07FA01,mælkesyreproducerende organismer
MA07FA02,saccharomyces boulardii
MA07FA51,"mælkesyreproducerende organismer, kombinationer"
MA07X,andre midler mod diarré
MA07XA,andre midler mod diarré
MA07XA01,albumintannat
MA07XA02,ceratonia
MA07XA03,calcium-forbindelser
MA07XA04,racecadotril
MA07XA06,crofelemer
MA07XA51,"albumintannat, komb."
MA08,"midler mod fedme, excl. diætmidler"
MA08A,"midler mod fedme, excl. diætmidler"
MA08AA,centralt virkende anorexica
MA08AA01,phentermin
MA08AA02,fenfluramin
MA08AA03,amfepramon
MA08AA04,dexfenfluramin
MA08AA05,mazindol
MA08AA06,etilamfetamin
MA08AA07,cathin
MA08AA08,clobenzorex
MA08AA09,mefenorex
MA08AA10,sibutramin
MA08AA11,lorcaserin
MA08AA12,setmelanotid
MA08AA51,phentermin og topiramat
MA08AA56,"ephedrin, kombinationer"
MA08AA62,bupropion og naltrexon
MA08AB,midler mod fedme med perifer virkning
MA08AB01,orlistat
MA08AX,andre midler mod fedme
MA08AX01,rimonabant
MA09,"digestiva, incl. enzymer"
MA09A,"digestiva, incl. enzymer"
MA09AA,enzympræparater
MA09AA01,diastase
MA09AA02,"multienzymer (lipase, protease etc.)"
MA09AA03,pepsin
MA09AA04,tilactase
MA09AB,syrepræparater
MA09AB01,glutaminsyre
MA09AB02,betainhydrochlorid
MA09AB03,saltsyre
MA09AB04,citronsyre
MA09AC,"enzym- og syrepræparater, kombinationer"
MA09AC01,pepsin og syrepræparater
MA09AC02,multienzymer og syrepræparater
MA10,antidiabetica
MA10A,insuliner og analoger
MA10AB,"insuliner og analoger til injektion, hurtigtvirkende"
MA10AB01,insulin (human)
MA10AB02,insulin (okse)
MA10AB03,insulin (svin)
MA10AB04,insulin lispro
MA10AB05,insulin aspart
MA10AB06,insulin glulisin
MA10AB30,insuliner i komb.
MA10AC,"insuliner og analoger til injektion, middellang virkningstid"
MA10AC01,insulin (human)
MA10AC02,insulin (okse)
MA10AC03,insulin (svin)
MA10AC04,insulin lispro
MA10AC30,insuliner i komb.
MA10AD,"insuliner og analoger til injektion, middel- og langtidsvirkende i kombinationer med hurtigtvirkende"
MA10AD01,insulin (human)
MA10AD02,insulin (okse)
MA10AD03,insulin (svin)
MA10AD04,insulin lispro
MA10AD05,insulin aspart
MA10AD06,insulin degludec og insulin aspart
MA10AD30,insuliner i komb.
MA10AE,"insuliner og analoger til injektion, langtidsvirkende"
MA10AE01,insulin (human)
MA10AE02,insulin (okse)
MA10AE03,insulin (svin)
MA10AE04,insulin glargin
MA10AE05,insulin detemir
MA10AE06,insulin degludec
MA10AE30,insuliner i komb.
MA10AE54,insulin glargin og lixisenatid
MA10AE56,insulin degludec og liraglutid
MA10AF,"insuliner og analoger, til inhalation"
MA10AF01,insulin (human)
MA10B,"blod-glucose sænkende midler, exkl. insuliner"
MA10BA,biguanider
MA10BA01,phenformin
MA10BA02,metformin
MA10BA03,buformin
MA10BB,sulfonylcarbamid
MA10BB01,glibenclamid
MA10BB02,chlorpropamid
MA10BB03,tolbutamid
MA10BB04,glibornurid
MA10BB05,tolazamid
MA10BB06,carbutamid
MA10BB07,glipizid
MA10BB08,gliquidon
MA10BB09,gliclazid
MA10BB10,metahexamid
MA10BB11,glisoxepid
MA10BB12,glimepirid
MA10BB31,acetohexamid
MA10BC,sulfonamider (heterocycliske)
MA10BC01,glymidin
MA10BD,komb. af orale blod-glucose sænkende midler
MA10BD01,phenformin og sulfonylcarbamider
MA10BD02,metformin og sulfonylcarbamider
MA10BD03,metformin og rosiglitazon
MA10BD04,glimepirid og rosiglitazon
MA10BD05,metformin og pioglitazon
MA10BD06,glimepirid og pioglitazon
MA10BD07,metformin og sitagliptin
MA10BD08,metformin og vildagliptin
MA10BD09,pioglitazon og alogliptin
MA10BD10,metformin og saxagliptin
MA10BD11,metformin og linagliptin
MA10BD12,pioglitazon og sitagliptin
MA10BD13,metformin og alogliptin
MA10BD14,metformin og repaglinid
MA10BD15,metformin og dapagliflozin
MA10BD16,metformin og canagliflozin
MA10BD17,metformin og acarbose
MA10BD18,metformin og gemigliptin
MA10BD19,linagliptin og empagliflozin
MA10BD20,metformin og empagliflozin
MA10BD21,saxagliptin og dapagliflozin
MA10BD22,metformin og evogliptin
MA10BD23,metformin og ertugliflozin
MA10BD24,sitagliptin og ertugliflozin
MA10BD25,"metformin, saxagliptin og dapagliflozin"
MA10BD26,metformin og lobeglitazon
MA10BD27,"metformin, linagliptin og empagliflozin"
MA10BF,alfa-glucosidase hæmmere
MA10BF01,acarbose
MA10BF02,miglitol
MA10BF03,voglibose
MA10BG,thiazolindioner
MA10BG01,troglitazon
MA10BG02,rosiglitazon
MA10BG03,pioglitazon
MA10BG04,lobeglitazon
MA10BH,dipeptidylpeptidase 4 (dpp-4) hæmmere
MA10BH01,sitagliptin
MA10BH02,vildagliptin
MA10BH03,saxagliptin
MA10BH04,alogliptin
MA10BH05,linagliptin
MA10BH06,gemigliptin
MA10BH07,evogliptin
MA10BH08,teneligliptin
MA10BH51,sitagliptin og simvastatin
MA10BH52,gemigliptin og rosuvastatin
MA10BJ,glucagon-lignende peptid-1 receptor (glp-1) analog
MA10BJ01,exenatid
MA10BJ02,liraglutid
MA10BJ03,lixisenatid
MA10BJ04,albiglutid
MA10BJ05,dulaglutid
MA10BJ06,semaglutid
MA10BJ07,beinaglutid
MA10BK,natrium-glucose co-transporter 2 (sglt2) inhibitorer
MA10BK01,dapagliflozin
MA10BK02,canagliflozin
MA10BK03,empagliflozin
MA10BK04,ertugliflozin
MA10BK05,ipragliflozin
MA10BK06,sotagliflozin
MA10BK07,luseogliflozin
MA10BX,"andre blod-glucose sænkende midler, ekskl. insuliner"
MA10BX01,guar gummi
MA10BX02,repaglinid
MA10BX03,nateglinid
MA10BX05,pramlintid
MA10BX06,benfluorex
MA10BX08,mitiglinid
MA10BX15,imeglimin
MA10BX16,tirzepatid
MA10BX17,carfloglitazar
MA10BX18,dorzagliatin
MA10X,andre midler til behandling af diabetes
MA10XA,aldose-reductase hæmmere
MA10XA01,tolrestat
MA11,vitaminer
MA11A,"multivitaminer, kombinationer"
MA11AA,multivitaminer med mineraler
MA11AA01,multivitaminer og jern
MA11AA02,multivitaminer og calcium
MA11AA03,"multivitaminer og andre mineraler, incl. komb."
MA11AA04,multivitaminer og mineraler i spormængde
MA11AB,"multivitaminer, andre kombinationer"
MA11B,"multivitaminer, usammensatte"
MA11BA,"multivitaminer, usammensatte"
MA11C,"vitamin a og d, incl. kombinationer af disse"
MA11CA,"vitamin a, usammensatte præparater"
MA11CA01,retinol (vitamin a)
MA11CA02,betacaroten
MA11CB,vitamin A og D i kombination
MA11CC,vitamin D og analoger
MA11CC01,ergocalciferol
MA11CC02,dihydrotachysterol
MA11CC03,alfacalcidol
MA11CC04,calcitriol
MA11CC05,colecalciferol
MA11CC06,calcifediol
MA11CC20,kombinationer
MA11CC55,"cholecalciferol, kombinationer"
MA11D,"vitamin B1, også i komb. med vitamin B6 and B12"
MA11DA,"thiamin (vitamin B1), usammensatte præparater"
MA11DA01,thiamin (vitamin B1)
MA11DA02,sulbutiamin
MA11DA03,benfotiamin
MA11DB,vitamin B1 i komb. med vit. B6 og/eller vit. B12
MA11E,"vitamin B-complex, incl. kombinationer"
MA11EA,"vitamin B-complex, uden andre stoffer"
MA11EB,vitamin B-complex med vitamin C
MA11EC,vitamin B-complex med mineraler
MA11ED,vitamin B-complex med anaboliske steroider
MA11EX,"vitamin B-complex, andre kombinationer"
MA11G,"ascorbinsyre (vitamin C), incl. kombinationer"
MA11GA,"ascorbinsyre (vitamin C), usammensatte præp."
MA11GA01,ascorbinsyre (vitamin C)
MA11GB,"ascorbinsyre (vitamin C), kombinationer"
MA11GB01,ascorbinsyre (vitamin C) og calcium
MA11H,andre usammensatte vitaminpræparater
MA11HA,andre usammensatte vitaminpræparater
MA11HA01,nicotinamid
MA11HA02,pyridoxin (vitamin B6)
MA11HA03,tocopherol (vitamin E)
MA11HA04,riboflavin (vitamin B2)
MA11HA05,biotin
MA11HA06,pyridoxalphosphat
MA11HA07,inositol
MA11HA08,tocofersolan
MA11HA30,dexpanthenol
MA11HA31,calciumpantothenat
MA11HA32,pantethin
MA11J,andre sammensatte vitaminpræparater
MA11JA,kombinationer af vitaminer
MA11JB,vitaminer med mineraler
MA11JC,"vitaminer, andre kombinationer"
MA12,mineralpræparater
MA12A,calcium
MA12AA,calcium
MA12AA01,calciumphosphat
MA12AA02,calciumglubionat
MA12AA03,calciumgluconat
MA12AA04,calciumcarbonat
MA12AA05,calciumlactat
MA12AA06,calciumlactogluconat
MA12AA07,calciumchlorid
MA12AA08,calciumglycerylphosphat
MA12AA09,calciumcitrat-lysin complex
MA12AA10,calciumglucoheptonat
MA12AA11,calciumpangamat
MA12AA13,calciumcitrat
MA12AA20,calcium (forskellige salte i kombination)
MA12AA30,calciumlaevulat
MA12AX,"calcium, kombinationer med D-vitamin og/eller andre stoffer"
MA12B,kalium
MA12BA,kalium
MA12BA01,kaliumchlorid
MA12BA02,kaliumcitrat
MA12BA03,kaliumhydrogentartrat
MA12BA04,kaliumhydrogencarbonat
MA12BA05,kaliumgluconat
MA12BA30,kalium (forskellige salte i kombination)
MA12BA51,"kaliumchlorid, kombinationer"
MA12C,andre mineralpræparater
MA12CA,natrium
MA12CA01,natriumchlorid
MA12CA02,natriumsulfat
MA12CB,zink
MA12CB01,zinksulfat
MA12CB02,zinkgluconat
MA12CB03,zinkprotein-kompleks
MA12CC,magnesium
MA12CC01,magnesiumchlorid
MA12CC02,magnesiumsulfat
MA12CC03,magnesiumgluconat
MA12CC04,magnesiumcitrat
MA12CC05,magnesiumaspartat
MA12CC06,magnesiumlactat
MA12CC07,magnesiumlevulinat
MA12CC08,magnesiumpidolat
MA12CC09,magnesiumorotat
MA12CC10,magnesiumoxid
MA12CC30,magnesium (forskellige salte i kombination)
MA12CD,fluorid
MA12CD01,natriumfluorid
MA12CD02,natriummonofluorophosphat
MA12CD51,"fluorid, kombinationer"
MA12CE,selen
MA12CE01,natriumselenat
MA12CE02,natriumselenit
MA12CX,diverse mineralpræparater
MA13,tonica
MA13A,tonica
MA14,anaboliske midler til systemisk brug
MA14A,anaboliske steroider
MA14AA,androstan-derivater
MA14AA01,androstanolon
MA14AA02,stanozolol
MA14AA03,metandienon
MA14AA04,metenolon
MA14AA05,oxymetholon
MA14AA06,quinbolon
MA14AA07,prasteron
MA14AA08,oxandrolon
MA14AA09,norethandrolon
MA14AB,estren-derivater
MA14AB01,nandrolon
MA14AB02,ethylestrenol
MA14AB03,oxaboloncipionat
MA14B,andre anaboliske midler
MA15,appetitstimulerende midler
MA16,andre midler til fordøjelsesorganer og stofskifte
MA16A,andre midler til fordøjelsesorganer og stofskifte
MA16AA,aminosyrer og derivater
MA16AA01,levocarnitin
MA16AA02,ademetionin
MA16AA03,levoglutamid
MA16AA04,mercaptamin
MA16AA05,cargluminsyre
MA16AA06,betain
MA16AA07,metreleptin
MA16AB,enzymer
MA16AB01,alglucerase
MA16AB02,imiglucerase
MA16AB03,agalsidase alfa
MA16AB04,agalsidase beta
MA16AB05,laronidase
MA16AB06,sacrosidase
MA16AB07,alglucosidase alfa
MA16AB08,galsulfase
MA16AB09,idursulfase
MA16AB10,velaglucerase alfa
MA16AB11,taliglucerase alfa
MA16AB12,elosulfase alfa
MA16AB13,asfotase alfa
MA16AB14,sebelipase alfa
MA16AB15,velmanase alfa
MA16AB16,idursulfase beta
MA16AB17,cerliponase alfa
MA16AB18,vestronidase alfa
MA16AB19,pegvaliase
MA16AB20,pegunigalsidase Alfa
MA16AB21,atidarsagene autotemcel
MA16AB22,avalglucosidase alfa
MA16AB23,cipaglucosidase alfa
MA16AB24,pegzilarginase
MA16AB25,olipudase alfa
